0.000000	0.044112	1.000000
0.055963	0.044221	1.000000
0.118927	0.043941	1.000000
0.176888	0.044412	1.000000
0.239858	0.044162	1.000000
0.283823	0.044243	1.000000
0.341177	0.044464	1.000000
0.397238	0.044196	1.000000
0.432218	0.043884	1.000000
0.489183	0.043916	1.000000
0.546182	0.043924	1.000000
0.576328	0.044023	1.000000
0.615303	0.044415	1.000000
0.672266	0.043875	1.000000
0.727333	0.044330	1.000000
0.757313	0.044211	1.000000
0.819324	0.044243	1.000000
0.870245	0.044167	1.000000
0.928300	0.044295	1.000000
0.985265	0.044283	1.000000
1.023242	0.044444	1.000000
1.078207	0.044026	1.000000
1.121181	0.044275	1.000000
1.160157	0.044081	1.000000
1.216122	0.044057	1.000000
1.272087	0.044084	1.000000
1.313061	0.044008	1.000000
1.370027	0.043909	1.000000
1.425235	0.044310	1.000000
1.466234	0.044073	1.000000
1.523365	0.043965	1.000000
1.579329	0.044017	1.000000
1.611309	0.044075	1.000000
1.671274	0.043877	1.000000
1.727530	0.044444	1.000000
1.755512	0.044075	1.000000
1.817606	0.043936	1.000000
1.868669	0.043953	1.000000
1.924634	0.043927	1.000000
1.982597	0.044006	1.000000
2.024571	0.044218	1.000000
2.070542	0.043881	1.000000
2.127507	0.043956	1.000000
2.158488	0.044200	1.000000
2.219451	0.043651	1.000000
2.273417	0.043748	1.000000
2.329383	0.043681	1.000000
2.387484	0.043741	1.000000
2.435457	0.043605	1.000000
2.493445	0.043250	1.000000
2.549409	0.043517	1.000000
2.585387	0.043521	1.000000
2.643352	0.043523	1.000000
2.700402	0.043179	1.000000
2.741376	0.043037	1.000000
2.797552	0.043025	1.000000
2.853653	0.042688	1.000000
2.894627	0.042761	1.000000
2.952794	0.042703	1.000000
3.009819	0.042850	1.000000
3.037802	0.042577	1.000000
3.101774	0.042798	1.000000
3.154815	0.042879	1.000000
3.212779	0.042896	1.000000
3.269744	0.042584	1.000000
3.316758	0.042632	1.000000
3.374815	0.042511	1.000000
3.427842	0.042654	1.000000
3.463819	0.042162	1.000000
3.525823	0.042628	1.000000
3.579794	0.042377	1.000000
3.636757	0.042259	1.000000
3.694722	0.042290	1.000000
3.740693	0.042223	1.000000
3.796858	0.042029	1.000000
3.852824	0.042010	1.000000
3.890801	0.042157	1.000000
3.946818	0.042155	1.000000
4.003793	0.041811	1.000000
4.043762	0.042189	1.000000
4.102770	0.041754	1.000000
4.162731	0.042085	1.000000
4.219700	0.042035	1.000000
4.277660	0.041789	1.000000
4.320632	0.041591	1.000000
4.384682	0.042073	1.000000
4.442646	0.042084	1.000000
4.471629	0.041772	1.000000
4.534590	0.041750	1.000000
4.586569	0.041649	1.000000
4.643522	0.041354	1.000000
4.707481	0.041365	1.000000
4.747457	0.041400	1.000000
4.803465	0.041451	1.000000
4.860422	0.041592	1.000000
4.898400	0.041650	1.000000
4.953364	0.041362	1.000000
4.981347	0.041246	1.000000
5.039310	0.041541	1.000000
5.095419	0.041086	1.000000
5.161473	0.041061	1.000000
5.202448	0.041325	1.000000
5.257655	0.040889	1.000000
5.318915	0.041066	1.000000
5.347896	0.041006	1.000000
5.410152	0.041077	1.000000
5.462153	0.040868	1.000000
5.519115	0.041058	1.000000
5.576139	0.040889	1.000000
5.619114	0.040681	1.000000
5.683171	0.040938	1.000000
5.740133	0.040674	1.000000
5.769115	0.040396	1.000000
5.840117	0.040779	1.000000
5.885088	0.040736	1.000000
5.941055	0.040610	1.000000
5.997023	0.040584	1.000000
6.036993	0.040224	1.000000
6.098962	0.040338	1.000000
6.154926	0.040637	1.000000
6.213886	0.040457	1.000000
6.268973	0.040419	1.000000
6.315958	0.040047	1.000000
6.372951	0.040530	1.000000
6.430147	0.040111	1.000000
6.471123	0.040414	1.000000
6.526141	0.040396	1.000000
6.583105	0.039993	1.000000
6.614083	0.040442	1.000000
6.680144	0.040161	1.000000
6.730289	0.039903	1.000000
6.787260	0.039673	1.000000
6.843384	0.040138	1.000000
6.874365	0.039705	1.000000
6.936327	0.039743	1.000000
6.993291	0.039880	1.000000
7.027269	0.039571	1.000000
7.089232	0.039842	1.000000
7.146197	0.039546	1.000000
7.173182	0.039821	1.000000
7.238376	0.039619	1.000000
7.290378	0.039226	1.000000
7.353337	0.039336	1.000000
7.409302	0.039400	1.000000
7.450278	0.039453	1.000000
7.506242	0.039420	1.000000
7.562208	0.039223	1.000000
7.595187	0.039206	1.000000
7.655150	0.038918	1.000000
7.714213	0.038992	1.000000
7.772171	0.038850	1.000000
7.828314	0.038831	1.000000
7.872286	0.038959	1.000000
7.929252	0.038541	1.000000
7.987216	0.038669	1.000000
8.028191	0.038792	1.000000
8.084280	0.038322	1.000000
8.148239	0.038448	1.000000
8.176222	0.038675	1.000000
8.239275	0.038272	1.000000
8.289244	0.038248	1.000000
8.347384	0.038390	1.000000
8.405349	0.038106	1.000000
8.447321	0.038353	1.000000
8.503382	0.037914	1.000000
8.565473	0.037991	1.000000
8.592460	0.037875	1.000000
8.656631	0.038010	1.000000
8.708774	0.037680	1.000000
8.767864	0.037900	1.000000
8.826029	0.038025	1.000000
8.869001	0.037425	1.000000
8.930963	0.037515	1.000000
8.988066	0.037616	1.000000
9.028041	0.037694	1.000000
9.085006	0.037396	1.000000
9.141971	0.037282	1.000000
9.173951	0.037303	1.000000
9.235041	0.037047	1.000000
9.292006	0.036893	1.000000
9.354999	0.036774	1.000000
9.412966	0.036777	1.000000
9.453953	0.036781	1.000000
9.509995	0.036555	1.000000
9.566960	0.036195	1.000000
9.607939	0.036240	1.000000
